t,exact_real,exact_imag,sdp_real,sdp_imag,sdp_optimized_real,sdp_optimized_imag,positive_real,positive_imag
1.280000000000000027e+00,-8.705590568562661391e-02,0.000000000000000000e+00,-9.191843255111610544e-02,-1.561451915999496552e-13,-9.191843255111610544e-02,-1.561451915999496552e-13,-9.191843255111610544e-02,-1.561451915999496552e-13
1.300000000000000044e+00,-5.409080932444475243e-02,0.000000000000000000e+00,-6.032785790358650979e-02,-1.705846178531426552e-13,-6.032785790358650979e-02,-1.705846178531426552e-13,-6.032785790358650979e-02,-1.705846178531426552e-13
1.320000000000000062e+00,-2.050507785210533077e-02,0.000000000000000000e+00,-2.798001465478388780e-02,-1.768413780677523713e-13,-2.798001465478388780e-02,-1.768413780677523713e-13,-2.798001465478388780e-02,-1.768413780677523713e-13
1.340000000000000080e+00,1.238732825672323422e-02,0.000000000000000000e+00,3.881072734048419872e-03,-1.748998928939803051e-13,3.881072734048419872e-03,-1.748998928939803051e-13,3.881072734048419872e-03,-1.748998928939803051e-13
1.360000000000000098e+00,4.335629209466040218e-02,0.000000000000000000e+00,3.408407024119598089e-02,-1.652310951189240553e-13,3.408407024119598089e-02,-1.652310951189240553e-13,3.408407024119598089e-02,-1.652310951189240553e-13
1.380000000000000115e+00,7.129747583938739197e-02,0.000000000000000000e+00,6.156953791991039843e-02,-1.485017864430185716e-13,6.156953791991039843e-02,-1.485017864430185716e-13,6.156953791991039843e-02,-1.485017864430185716e-13
1.400000000000000133e+00,9.526796764199528533e-02,0.000000000000000000e+00,8.542363426633130252e-02,-1.257490264299630253e-13,8.542363426633130252e-02,-1.257490264299630253e-13,8.542363426633130252e-02,-1.257490264299630253e-13
1.419999999999999929e+00,1.145146015494194203e-01,0.000000000000000000e+00,1.049053526957271221e-01,-9.817224928348352007e-14,1.049053526957271221e-01,-9.817224928348352007e-14,1.049053526957271221e-01,-9.817224928348352007e-14
1.439999999999999947e+00,1.284942094545678259e-01,0.000000000000000000e+00,1.194665720042060730e-01,-6.713370035130372024e-14,1.194665720042060730e-01,-6.713370035130372024e-14,1.194665720042060730e-01,-6.713370035130372024e-14
1.459999999999999964e+00,1.368853777037205288e-01,0.000000000000000000e+00,1.287644704879437330e-01,-3.414904427415899623e-14,1.287644704879437330e-01,-3.414904427415899623e-14,1.287644704879437330e-01,-3.414904427415899623e-14
1.479999999999999982e+00,1.395915994458169496e-01,0.000000000000000000e+00,1.326661292797385039e-01,-6.465029094900208724e-16,1.326661292797385039e-01,-6.465029094900208724e-16,1.326661292797385039e-01,-6.465029094900208724e-16
1.500000000000000000e+00,1.367360257423485270e-01,0.000000000000000000e+00,1.312454251037320774e-01,3.192590649915739358e-14,1.312454251037320774e-01,3.192590649915739358e-14,1.312454251037320774e-01,3.192590649915739358e-14
1.520000000000000018e+00,1.286483130697506638e-01,0.000000000000000000e+00,1.247725768735025581e-01,6.207929949588397831e-14,1.247725768735025581e-01,6.207929949588397831e-14,1.247725768735025581e-01,6.207929949588397831e-14
1.540000000000000036e+00,1.158443322436376738e-01,0.000000000000000000e+00,1.136969556700814232e-01,8.871165575648026665e-14,1.136969556700814232e-01,8.871165575648026665e-14,1.136969556700814232e-01,8.871165575648026665e-14
1.560000000000000053e+00,9.899973531132959248e-02,0.000000000000000000e+00,9.862398570036555456e-02,1.106917173220265329e-13,9.862398570036555456e-02,1.106917173220265329e-13,9.862398570036555456e-02,1.106917173220265329e-13
1.580000000000000071e+00,7.891856543568098736e-02,0.000000000000000000e+00,8.028714794326942406e-02,1.272756132649055907e-13,8.028714794326942406e-02,1.272756132649055907e-13,8.028714794326942406e-02,1.272756132649055907e-13
1.600000000000000089e+00,5.649823478831501877e-02,0.000000000000000000e+00,5.951624268362708248e-02,1.379178553615934126e-13,5.951624268362708248e-02,1.379178553615934126e-13,5.951624268362708248e-02,1.379178553615934126e-13
1.620000000000000107e+00,3.269228341162565971e-02,0.000000000000000000e+00,3.720316779194078605e-02,1.422561945701989948e-13,3.720316779194078605e-02,1.422561945701989948e-13,3.720316779194078605e-02,1.422561945701989948e-13
1.640000000000000124e+00,8.472366272107260607e-03,0.000000000000000000e+00,1.426652378204448096e-02,1.403189015881188437e-13,1.426652378204448096e-02,1.403189015881188437e-13,1.426652378204448096e-02,1.403189015881188437e-13
1.660000000000000142e+00,-1.520910335446247139e-02,0.000000000000000000e+00,-8.383636631171644329e-03,1.323205581504661665e-13,-8.383636631171644329e-03,1.323205581504661665e-13,-8.383636631171644329e-03,1.323205581504661665e-13
1.679999999999999938e+00,-3.745429622373129541e-02,0.000000000000000000e+00,-2.987963687521060646e-02,1.188122556710634287e-13,-2.987963687521060646e-02,1.188122556710634287e-13,-2.987963687521060646e-02,1.188122556710634287e-13
1.699999999999999956e+00,-5.745205456340048145e-02,0.000000000000000000e+00,-4.942738980051698122e-02,1.004350387129680144e-13,-4.942738980051698122e-02,1.004350387129680144e-13,-4.942738980051698122e-02,1.004350387129680144e-13
1.719999999999999973e+00,-7.450564284140560878e-02,0.000000000000000000e+00,-6.633392824278747102e-02,7.815881300268187219e-14,-6.633392824278747102e-02,7.815881300268187219e-14,-6.633392824278747102e-02,7.815881300268187219e-14
1.739999999999999991e+00,-8.805527355633170628e-02,0.000000000000000000e+00,-8.003034597301569852e-02,5.294511317253953140e-14,-8.003034597301569852e-02,5.294511317253953140e-14,-8.003034597301569852e-02,5.294511317253953140e-14
1.760000000000000009e+00,-9.769473983956382390e-02,0.000000000000000000e+00,-9.008943194918345165e-02,2.596550695565466059e-14,-9.008943194918345165e-02,2.596550695565466059e-14,-9.008943194918345165e-02,2.596550695565466059e-14
1.780000000000000027e+00,-1.031817246469274862e-01,0.000000000000000000e+00,-9.623749228927240551e-02,-1.603300845808378987e-15,-9.623749228927240551e-02,-1.603300845808378987e-15,-9.623749228927240551e-02,-1.603300845808378987e-15
1.800000000000000044e+00,-1.044416030489275643e-01,0.000000000000000000e+00,-9.836007957092597620e-02,-2.856051501920453061e-14,-9.836007957092597620e-02,-2.856051501920453061e-14,-9.836007957092597620e-02,-2.856051501920453061e-14
1.820000000000000062e+00,-1.015648003767250923e-01,0.000000000000000000e+00,-9.650157953831768609e-02,-5.384489126330330826e-14,-9.650157953831768609e-02,-5.384489126330330826e-14,-9.650157953831768609e-02,-5.384489126330330826e-14
1.840000000000000080e+00,-9.479800577813445039e-02,0.000000000000000000e+00,-9.085883260659348426e-02,-7.640073919787159097e-14,-9.085883260659348426e-02,-7.640073919787159097e-14,-9.085883260659348426e-02,-7.640073919787159097e-14
1.860000000000000098e+00,-8.452975969320682126e-02,0.000000000000000000e+00,-8.176918348700139283e-02,-9.537322587540974598e-14,-8.176918348700139283e-02,-9.537322587540974598e-14,-8.176918348700139283e-02,-9.537322587540974598e-14
1.880000000000000115e+00,-7.127112734786274217e-02,0.000000000000000000e+00,-6.969354913966237242e-02,-1.099773231411826866e-13,-6.969354913966237242e-02,-1.099773231411826866e-13,-6.969354913966237242e-02,-1.099773231411826866e-13
1.900000000000000133e+00,-5.563233218021532145e-02,0.000000000000000000e+00,-5.519526623793523379e-02,-1.196884907590105597e-13,-5.519526623793523379e-02,-1.196884907590105597e-13,-5.519526623793523379e-02,-1.196884907590105597e-13
1.919999999999999929e+00,-3.829634807513823680e-02,0.000000000000000000e+00,-3.891561859606195578e-02,-1.242835436607107678e-13,-3.891561859606195578e-02,-1.242835436607107678e-13,-3.891561859606195578e-02,-1.242835436607107678e-13
1.939999999999999947e+00,-1.999053378246707161e-02,0.000000000000000000e+00,-2.154704802370720207e-02,-1.235784263540278825e-13,-2.154704802370720207e-02,-1.235784263540278825e-13,-2.154704802370720207e-02,-1.235784263540278825e-13
1.959999999999999964e+00,-1.457434899696434831e-03,0.000000000000000000e+00,-3.805115688214133225e-03,-1.177213555015902438e-13,-3.805115688214133225e-03,-1.177213555015902438e-13,-3.805115688214133225e-03,-1.177213555015902438e-13
1.979999999999999982e+00,1.657412211306924857e-02,0.000000000000000000e+00,1.359969634542762193e-02,-1.070716671122360132e-13,1.359969634542762193e-02,-1.070716671122360132e-13,1.359969634542762193e-02,-1.070716671122360132e-13
2.000000000000000000e+00,3.341656208792510852e-02,0.000000000000000000e+00,2.998927225261757701e-02,-9.215353741979257479e-14,2.998927225261757701e-02,-9.215353741979257479e-14,2.998927225261757701e-02,-9.215353741979257479e-14
2.020000000000000018e+00,4.844871943430187344e-02,0.000000000000000000e+00,4.474322531934841335e-02,-7.364157732661165378e-14,4.474322531934841335e-02,-7.364157732661165378e-14,4.474322531934841335e-02,-7.364157732661165378e-14
2.040000000000000036e+00,6.113773932195536165e-02,0.000000000000000000e+00,5.732141857311229272e-02,-5.238251692119791488e-14,5.732141857311229272e-02,-5.238251692119791488e-14,5.732141857311229272e-02,-5.238251692119791488e-14
2.060000000000000053e+00,7.105698515226625822e-02,0.000000000000000000e+00,6.728285272997472366e-02,-2.928004193830315195e-14,6.728285272997472366e-02,-2.928004193830315195e-14,6.728285272997472366e-02,-2.928004193830315195e-14
2.080000000000000071e+00,7.789938594302764363e-02,0.000000000000000000e+00,7.430028571944675975e-02,-5.311915557589568207e-15,7.430028571944675975e-02,-5.311915557589568207e-15,7.430028571944675975e-02,-5.311915557589568207e-15
2.100000000000000089e+00,8.148584417328580409e-02,0.000000000000000000e+00,7.817012362850739304e-02,1.852577863196613060e-14,7.817012362850739304e-02,1.852577863196613060e-14,7.817012362850739304e-02,1.852577863196613060e-14
2.120000000000000107e+00,8.176852086861229052e-02,0.000000000000000000e+00,7.881731237166310355e-02,4.124030452216750419e-14,7.881731237166310355e-02,4.124030452216750419e-14,7.881731237166310355e-02,4.124030452216750419e-14
2.140000000000000124e+00,7.882901271241557484e-02,0.000000000000000000e+00,7.629515534845356106e-02,6.193407107336612157e-14,7.629515534845356106e-02,6.193407107336612157e-14,7.629515534845356106e-02,6.193407107336612157e-14
2.160000000000000142e+00,7.287162831992387291e-02,0.000000000000000000e+00,7.078017727237223555e-02,7.979761867981193970e-14,7.078017727237223555e-02,7.979761867981193970e-14,7.078017727237223555e-02,7.979761867981193970e-14
2.180000000000000160e+00,6.421215046997688636e-02,0.000000000000000000e+00,6.256234088684470285e-02,9.412206269049277929e-14,6.256234088684470285e-02,9.412206269049277929e-14,6.256234088684470285e-02,9.412206269049277929e-14
2.200000000000000178e+00,5.326263165629616797e-02,0.000000000000000000e+00,5.203109450406164654e-02,1.044272472411663528e-13,5.203109450406164654e-02,1.044272472411663528e-13,5.203109450406164654e-02,1.044272472411663528e-13
2.220000000000000195e+00,4.051290625647971377e-02,0.000000000000000000e+00,3.965787798472932002e-02,1.103268177551374365e-13,3.965787798472932002e-02,1.103268177551374365e-13,3.965787798472932002e-02,1.103268177551374365e-13
2.240000000000000213e+00,2.650960943303215522e-02,0.000000000000000000e+00,2.597583761529240198e-02,1.116617030835297584e-13,2.597583761529240198e-02,1.116617030835297584e-13,2.597583761529240198e-02,1.116617030835297584e-13
2.260000000000000231e+00,1.183356727633613943e-02,0.000000000000000000e+00,1.155759213649902410e-02,1.084484395475058991e-13,1.155759213649902410e-02,1.084484395475058991e-13,1.155759213649902410e-02,1.084484395475058991e-13
2.280000000000000249e+00,-2.923537338662737534e-03,0.000000000000000000e+00,-3.008050012316581309e-03,1.008783049130848870e-13,-3.008050012316581309e-03,1.008783049130848870e-13,-3.008050012316581309e-03,1.008783049130848870e-13
2.300000000000000266e+00,-1.718231386247923154e-02,0.000000000000000000e+00,-1.713949994572276994e-02,8.933602969641378106e-14,-1.713949994572276994e-02,8.933602969641378106e-14,-1.713949994572276994e-02,8.933602969641378106e-14
2.319999999999999840e+00,-3.039774844594294104e-02,0.000000000000000000e+00,-3.028501537290202369e-02,7.435275659950851667e-14,-3.028501537290202369e-02,7.435275659950851667e-14,-3.028501537290202369e-02,7.435275659950851667e-14
2.339999999999999858e+00,-4.207940603724509565e-02,0.000000000000000000e+00,-4.194368494108865336e-02,5.657713073573122066e-14,-4.194368494108865336e-02,5.657713073573122066e-14,-4.194368494108865336e-02,5.657713073573122066e-14
2.359999999999999876e+00,-5.180902425962250618e-02,0.000000000000000000e+00,-5.168398979795189169e-02,3.676824792951721301e-14,-5.168398979795189169e-02,3.676824792951721301e-14,-5.168398979795189169e-02,3.676824792951721301e-14
2.379999999999999893e+00,-5.925489003695768447e-02,0.000000000000000000e+00,-5.915927121151906554e-02,1.576967017014276774e-14,-5.915927121151906554e-02,1.576967017014276774e-14,-5.915927121151906554e-02,1.576967017014276774e-14
2.399999999999999911e+00,-6.418252715963387867e-02,0.000000000000000000e+00,-6.411956583738565030e-02,-5.568572510054716993e-15,-6.411956583738565030e-02,-5.568572510054716993e-15,-6.411956583738565030e-02,-5.568572510054716993e-15
2.419999999999999929e+00,-6.646137488057386744e-02,0.000000000000000000e+00,-6.641942127357947090e-02,-2.637572162750341209e-14,-6.641942127357947090e-02,-2.637572162750341209e-14,-6.641942127357947090e-02,-2.637572162750341209e-14
2.439999999999999947e+00,-6.606729813092179771e-02,0.000000000000000000e+00,-6.602146775243758481e-02,-4.582810546440977263e-14,-6.602146775243758481e-02,-4.582810546440977263e-14,-6.602146775243758481e-02,-4.582810546440977263e-14
