t,exact_real,exact_imag,sdp_real,sdp_imag,sdp_optimized_real,sdp_optimized_imag,positive_real,positive_imag
1.540000000000000036e+00,6.490427471464150777e-01,-6.293561954009960768e-01,6.490353670848423295e-01,-6.293490391890245172e-01,6.490423320383319483e-01,-6.293558102901749551e-01,6.490423320383319483e-01,-6.293558102901749551e-01
1.560000000000000053e+00,6.409882821986964130e-01,-6.341050531677774327e-01,6.409808083946272328e-01,-6.340976596208713900e-01,6.409878731265198359e-01,-6.341046664822335144e-01,6.409878731265198359e-01,-6.341046664822335144e-01
1.580000000000000071e+00,6.328845863916076064e-01,-6.387364197903849794e-01,6.328770238441172591e-01,-6.387287873173932429e-01,6.328841835129916937e-01,-6.387360317445869295e-01,6.328841835129916937e-01,-6.387360317445869295e-01
1.600000000000000089e+00,6.247335019009406798e-01,-6.432497014383055101e-01,6.247258556298401766e-01,-6.432418285427562443e-01,6.247331053583716765e-01,-6.432493122411039321e-01,6.247331053583716765e-01,-6.432493122411039321e-01
1.620000000000000107e+00,6.165368786855085492e-01,-6.476443345149199837e-01,6.165291537296045954e-01,-6.476362197952615363e-01,6.165364886070933137e-01,-6.476439443695942710e-01,6.165364886070933137e-01,-6.476439443695942710e-01
1.640000000000000124e+00,6.082965739751058365e-01,-6.519197857646720218e-01,6.082887753904580030e-01,-6.519114279144812008e-01,6.082961904753292348e-01,-6.519193948689898654e-01,6.082961904753292348e-01,-6.519193948689898654e-01
1.660000000000000142e+00,6.000144517569497848e-01,-6.560755523713609483e-01,6.000065846151269033e-01,-6.560669501795205472e-01,6.000140749374028859e-01,-6.560751609176528332e-01,6.000140749374028859e-01,-6.560751609176528332e-01
1.679999999999999938e+00,5.916923822607594863e-01,-6.601111620475423880e-01,5.916844516470932680e-01,-6.601023143983857366e-01,5.916920122108384472e-01,-6.601107702227873020e-01,5.916920122108384472e-01,-6.601107702227873020e-01
1.699999999999999956e+00,5.833322414426286295e-01,-6.640261731150145508e-01,5.833242524544680618e-01,-6.640170789884387581e-01,5.833318782402039382e-01,-6.640257811009369071e-01,5.833318782402039382e-01,-6.640257811009369071e-01
1.719999999999999973e+00,5.749359104678497534e-01,-6.678201745763742148e-01,5.749278682128142748e-01,-6.678108330479223254e-01,5.749355541799081593e-01,-6.678197825495513218e-01,5.749355541799081593e-01,-6.678197825495513218e-01
1.739999999999999991e+00,5.665052751928468799e-01,-6.714927861776304185e-01,5.664971847870819976e-01,-6.714831964185408175e-01,5.665049258761046813e-01,-6.714923943096084979e-01,5.665049258761046813e-01,-6.714923943096084979e-01
1.760000000000000009e+00,5.580422256463741792e-01,-6.750436584618636493e-01,5.580340922128064207e-01,-6.750338197390879369e-01,5.580418833478634211e-01,-6.750432669192822921e-01,5.580418833478634211e-01,-6.750432669192822921e-01
1.780000000000000027e+00,5.495486555101374293e-01,-6.784724728139234218e-01,5.495404841767317361e-01,-6.784623844901137568e-01,5.495483202677657886e-01,-6.784720817586469277e-01,5.495483202677657886e-01,-6.784720817586469277e-01
1.800000000000000044e+00,5.410264615989972548e-01,-6.817789414961594741e-01,5.410182574970163749e-01,-6.817686030296233879e-01,5.410261334420806145e-01,-6.817785510854148523e-01,5.410261334420806145e-01,-6.817785510854148523e-01
1.820000000000000062e+00,5.324775433409101311e-01,-6.849628076751835826e-01,5.324693116031776752e-01,-6.849522186198068185e-01,5.324772222906803965e-01,-6.849624180617034375e-01,5.324772222906803965e-01,-6.849624180617034375e-01
1.840000000000000080e+00,5.239038022567653607e-01,-6.880238454396633285e-01,5.238955480159313005e-01,-6.880130054448030386e-01,5.239034883268537390e-01,-6.880234567718334082e-01,5.239034883268537390e-01,-6.880234567718334082e-01
1.860000000000000098e+00,5.153071414402764505e-01,-6.909618598091510355e-01,5.152988698270877244e-01,-6.909507686194956699e-01,5.153068346371710851e-01,-6.909614722311614443e-01,5.153068346371710851e-01,-6.909614722311614443e-01
