t,exact_real,exact_imag,sdp_real,sdp_imag,sdp_optimized_real,sdp_optimized_imag,positive_real,positive_imag
4.560000000000000497e+00,-1.082028910522303961e-01,-4.163133142704016354e-01,-1.081901138567142179e-01,-4.162901649348424993e-01,-1.082030566592989684e-01,-4.163135504567839762e-01,-1.082030566592989684e-01,-4.163135504567839762e-01
4.580000000000000071e+00,-1.099067264640004177e-01,-4.119802002386377948e-01,-1.098937610079065569e-01,-4.119571750237341345e-01,-1.099068959011916674e-01,-4.119804378742936146e-01,-1.099068959011916674e-01,-4.119804378742936146e-01
4.600000000000000533e+00,-1.115447113467150780e-01,-4.076502406154227653e-01,-1.115315598105215827e-01,-4.076273424074058349e-01,-1.115448845646287990e-01,-4.076504795310259555e-01,-1.115448845646287990e-01,-4.076504795310259555e-01
4.620000000000000107e+00,-1.131171426778685291e-01,-4.033243897779092979e-01,-1.131038072877435519e-01,-4.033016214194405924e-01,-1.131173196219279059e-01,-4.033246298037883038e-01,-1.131173196219279059e-01,-4.033246298037883038e-01
4.639999999999999680e+00,-1.146243314638265148e-01,-3.990035948445020964e-01,-1.146108144907715121e-01,-3.989809591339619210e-01,-1.146245120742766105e-01,-3.990038358108058403e-01,-1.146245120742766105e-01,-3.990038358108058403e-01
4.660000000000000142e+00,-1.160666025926231082e-01,-3.946887954638633178e-01,-1.160529063516060611e-01,-3.946662951546553444e-01,-1.160667868045345830e-01,-3.946890372007280656e-01,-1.160667868045345830e-01,-3.946890372007280656e-01
4.679999999999999716e+00,-1.174442946835135282e-01,-3.903809236067216082e-01,-1.174304215325906176e-01,-3.903585614065944176e-01,-1.174444824267926735e-01,-3.903811659444396120e-01,-1.174444824267926735e-01,-3.903811659444396120e-01
4.700000000000000178e+00,-1.187577599333342199e-01,-3.860809033605355212e-01,-1.187437122727614397e-01,-3.860586819309206885e-01,-1.187579511327385151e-01,-3.860811461297253278e-01,-1.187579511327385151e-01,-3.860811461297253278e-01
4.719999999999999751e+00,-1.200073639597223352e-01,-3.817896507270671091e-01,-1.199931442310574470e-01,-3.817675726824334981e-01,-1.200075585348829021e-01,-3.817898937588433128e-01,-1.200075585348829021e-01,-3.817898937588433128e-01
4.740000000000000213e+00,-1.211934856412509032e-01,-3.775080734229044332e-01,-1.211790963264448850e-01,-3.774861413301314195e-01,-1.211936835067004004e-01,-3.775083165490505932e-01,-1.211936835067004004e-01,-3.775083165490505932e-01
4.759999999999999787e+00,-1.223165169545305103e-01,-3.732370706829932216e-01,-1.223019605750107069e-01,-3.732152870607587380e-01,-1.223167180197375914e-01,-3.732373137361325588e-01,-1.223167180197375914e-01,-3.732373137361325588e-01
4.780000000000000249e+00,-1.233768628083367069e-01,-3.689775330672124265e-01,-1.233621419240798489e-01,-3.689559003853999930e-01,-1.233770669777470297e-01,-3.689777758809810737e-01,-1.233770669777470297e-01,-3.689777758809810737e-01
4.799999999999999822e+00,-1.243749408748157648e-01,-3.647303422700508002e-01,-1.243600580834126612e-01,-3.647088629491733736e-01,-1.243751480478982180e-01,-3.647305846792697204e-01,-1.243751480478982180e-01,-3.647305846792697204e-01
4.820000000000000284e+00,-1.253111814178280436e-01,-3.604963709334198518e-01,-1.252961393535401424e-01,-3.604750473440609948e-01,-1.253113914891286762e-01,-3.604966127742672000e-01,-1.253113914891286762e-01,-3.604966127742672000e-01
4.839999999999999858e+00,-1.261860271184843674e-01,-3.562764824626541982e-01,-1.261708284512920164e-01,-3.562553169249277896e-01,-1.261862399776854937e-01,-3.562767235728371840e-01,-1.261862399776854937e-01,-3.562767235728371840e-01
4.860000000000000320e+00,-1.269999328979357633e-01,-3.520715308457378900e-01,-1.269845803325781175e-01,-3.520505256287648765e-01,-1.270001484299219663e-01,-3.520717710646640852e-01,-1.270001484299219663e-01,-3.520717710646640852e-01
4.879999999999999893e+00,-1.277533657374728127e-01,-3.478823604758015664e-01,-1.277378620124813291e-01,-3.478615177972047001e-01,-1.277535838224028442e-01,-3.478825996447489355e-01,-1.277535838224028442e-01,-3.478825996447489355e-01
4.900000000000000355e+00,-1.284468044959961863e-01,-3.437098059769270186e-01,-1.284311523827204315e-01,-3.436891280023443018e-01,-1.284470250093816546e-01,-3.437100439392135054e-01,-1.284470250093816546e-01,-3.437100439392135054e-01
4.919999999999999929e+00,-1.290807397249173760e-01,-3.395546920333052388e-01,-1.290649420265437552e-01,-3.395341808759205771e-01,-1.290809625377070391e-01,-3.395549286344566320e-01,-1.290809625377070391e-01,-3.395549286344566320e-01
4.940000000000000391e+00,-1.296556734805504041e-01,-3.354178332217785941e-01,-1.296397330311152285e-01,-3.353974909418711015e-01,-1.296558984592213748e-01,-3.354180683096946169e-01,-1.296558984592213748e-01,-3.354180683096946169e-01
4.959999999999999964e+00,-1.301721191340558803e-01,-3.313000338478126472e-01,-1.301560387974516342e-01,-3.312798624523244362e-01,-1.301723461407104376e-01,-3.313002672729318809e-01,-1.301723461407104376e-01,-3.313002672729318809e-01
4.980000000000000426e+00,-1.306306011789993560e-01,-3.272020877849269316e-01,-1.306143838479757457e-01,-3.271820892270490000e-01,-1.306308300714681958e-01,-3.272023194003891855e-01,-1.306308300714681958e-01,-3.272023194003891855e-01
5.000000000000000000e+00,-1.310316550365861199e-01,-3.231247783176258159e-01,-1.310153036317448783e-01,-3.231049544964021969e-01,-1.310318856685371847e-01,-3.231250079794324992e-01,-1.310318856685371847e-01,-3.231250079794324992e-01
5.020000000000000462e+00,-1.313758268586351363e-01,-3.190688779878585457e-01,-1.313593443274208294e-01,-3.190492307478098866e-01,-1.313760590796896055e-01,-3.190691055550306521e-01,-1.313760590796896055e-01,-3.190691055550306521e-01
5.040000000000000036e+00,-1.316636733283565452e-01,-3.150351484450468753e-01,-1.316470626440416625e-01,-3.150156795758110029e-01,-1.316639069842092946e-01,-3.150353737797795817e-01,-1.316639069842092946e-01,-3.150353737797795817e-01
5.060000000000000497e+00,-1.318957614589948979e-01,-3.110243402997057705e-01,-1.318790256196609445e-01,-3.110050515356981293e-01,-1.318959963915420086e-01,-3.110245632675208705e-01,-1.318959963915420086e-01,-3.110245632675208705e-01
5.080000000000000071e+00,-1.320726683904046295e-01,-3.070371929806942068e-01,-1.320558104179190839e-01,-3.070180860007870605e-01,-1.320729044378756156e-01,-3.070374134505893804e-01,-1.320729044378756156e-01,-3.070374134505893804e-01
